"MSOA11CD","MSOA11NM","Year","Rent","budget_proportion","average_owned","average_rented","average_social","Houseprice","Occupation"
"E02000001","City of London 001",2001,4854,NA,0.483950067227582,0.170111312905606,0.316764244941771,203820.666666667,NA
"E02000002","Barking and Dagenham 001",2001,89.3561973202231,8.67323611835771,0.504955541236689,0.0381317607007342,0.432950194845687,82086.2660550459,346.200601363018
"E02000003","Barking and Dagenham 002",2001,132.48457595301,12.8594327393215,0.771777032419694,0.0954310360583498,0.125727609884773,82086.2660550459,513.296684972917
"E02000004","Barking and Dagenham 003",2001,81.5350570972132,7.91408792379149,0.765156723093793,0.035733820797352,0.185397549221226,82086.2660550459,315.898467546299
"E02000005","Barking and Dagenham 004",2001,112.925130842177,10.9609221616795,0.629786520939354,0.0404962877982645,0.318022620927316,82086.2660550459,437.515800571241
"E02000007","Barking and Dagenham 006",2001,115.945436257134,11.2540839433923,0.440742569615927,0.0310586619041545,0.515154509794912,82086.2660550459,449.21763639591
"E02000008","Barking and Dagenham 007",2001,152.584774435079,14.8104307975322,0.531745724037733,0.0428155324494896,0.412255391327828,82086.2660550459,591.172657884687
"E02000009","Barking and Dagenham 008",2001,110.722550037383,10.7471316920462,0.5699878100277,0.070708438111169,0.341842919327194,82086.2660550459,428.982147371592
"E02000010","Barking and Dagenham 009",2001,113.6241534928,11.0287718316829,0.543416671712851,0.036071991325316,0.410350179818681,82086.2660550459,440.224085718435
"E02000011","Barking and Dagenham 010",2001,81.6010026302908,7.92048883605596,0.786798861586376,0.077408020020057,0.125705146159018,82086.2660550459,316.153966145091
"E02000012","Barking and Dagenham 011",2001,130.413886214371,12.6584440942171,0.801481027997739,0.0431418004447232,0.142950460465444,82086.2660550459,505.274028970852
"E02000013","Barking and Dagenham 012",2001,110.814873783692,10.7560929692165,0.523497488315264,0.0400882835308548,0.430259281904616,82086.2660550459,429.3398454099
"E02000014","Barking and Dagenham 013",2001,124.003980399223,12.0362754221106,0.525739079858887,0.0369885593445564,0.429661109895942,82086.2660550459,480.43956516828
"E02000015","Barking and Dagenham 014",2001,99.7492133332616,9.68201989123828,0.422639435060716,0.0608997409609216,0.506748731655685,82086.2660550459,386.46718053262
"E02000016","Barking and Dagenham 015",2001,101.239582380817,9.82668050841532,0.305909670470799,0.139847562063966,0.527280547048257,82086.2660550459,392.241448865317
"E02000017","Barking and Dagenham 016",2001,112.081028018783,10.8789904846943,0.721419757681006,0.123977067757112,0.143047260119314,82086.2660550459,434.245418506705
"E02000018","Barking and Dagenham 017",2001,117.251157812071,11.3808220062288,0.504819703632303,0.0385213093907234,0.44872899377355,82086.2660550459,454.276508651989
"E02000019","Barking and Dagenham 018",2001,109.153046350135,10.5947899801518,0.553596857485719,0.0334555398003666,0.401028493008922,82086.2660550459,422.901280720345
"E02000020","Barking and Dagenham 019",2001,122.342152965666,11.8749724330459,0.517721161307274,0.0628389097060479,0.408897968021101,82086.2660550459,474.001000478724
"E02000021","Barking and Dagenham 020",2001,104.246698689158,10.1185621076752,0.731468760439836,0.0885089788301435,0.170649529387226,82086.2660550459,403.892184970228
"E02000022","Barking and Dagenham 021",2001,115.760788764516,11.2361613890517,0.151501786104833,0.0273188986901898,0.797054749580812,82086.2660550459,448.502240319293
"E02000023","Barking and Dagenham 022",2001,85.4917890818725,8.29814265965973,0.336319200534887,0.0376640439140439,0.611785971099697,82086.2660550459,331.228383473813
"E02000024","Barnet 001",2001,89.6236664739917,6.35487364823534,0.823311267110787,0.100497973311756,0.0543188676118144,190397.483253589,396.48142182914
"E02000025","Barnet 002",2001,70.2093235985701,4.97827636326904,0.703312179925837,0.133818899343658,0.148583286296534,190397.483253589,310.595332027633
"E02000026","Barnet 003",2001,55.710339351153,3.95020848181466,0.827950042021065,0.0974507267401783,0.0525733680911892,190397.483253589,246.454038598598
"E02000027","Barnet 004",2001,84.6994831446802,6.0057185186848,0.589946250382439,0.0648993901797181,0.325828804720569,190397.483253589,374.69758632494
"E02000028","Barnet 005",2001,54.4131082590225,3.85822675413737,0.816975202754331,0.114868255605938,0.0532943778690818,190397.483253589,240.715286234588
"E02000029","Barnet 006",2001,75.1599810318026,5.32930867093545,0.734129298469549,0.153818340376696,0.0963574467957041,190397.483253589,332.496284927017
"E02000030","Barnet 007",2001,80.5695229329996,5.71287873261015,0.808648039534265,0.0477091163264743,0.123750421550936,190397.483253589,356.427272676256
"E02000031","Barnet 008",2001,64.3673713333296,4.56404572570191,0.724377151513293,0.197239558993271,0.0654311414188589,190397.483253589,284.751426823725
"E02000032","Barnet 009",2001,69.3356781691761,4.91632948544556,0.882146964489494,0.0682215890942382,0.0345464356768979,190397.483253589,306.730457986565
"E02000033","Barnet 010",2001,75.3364750579428,5.34182319170787,0.738291569834371,0.0841728034950016,0.161361047980544,190397.483253589,333.277067561576
"E02000034","Barnet 011",2001,75.0805587200395,5.32367713658786,0.750196742516543,0.148461624120932,0.0887323936215443,190397.483253589,332.144932741466
"E02000035","Barnet 012",2001,70.2887459103332,4.98390789761663,0.637613575599352,0.223470433652595,0.119437329719675,190397.483253589,310.946684213185
"E02000036","Barnet 013",2001,94.8037661412064,6.72217483290589,0.753971829685152,0.0950116273802411,0.134290660285611,190397.483253589,419.397392153452
"E02000037","Barnet 014",2001,85.9614154315826,6.09519734220761,0.753606131377555,0.0645023624285753,0.166746276227612,190397.483253589,380.280182162038
"E02000038","Barnet 015",2001,92.7829095419012,6.57888357006167,0.733801730771971,0.131856192962921,0.112933228599194,190397.483253589,410.457430987749
"E02000039","Barnet 016",2001,58.9048812242905,4.17672130779548,0.820991868698759,0.116532020896283,0.0488534430131634,190397.483253589,260.586204284119
"E02000040","Barnet 017",2001,63.5113753065496,4.50335029995567,0.579836154106181,0.119114807027166,0.274812816918357,190397.483253589,280.964631046113
"E02000041","Barnet 018",2001,77.7544432160635,5.51327212629003,0.713353525068018,0.159498640428117,0.106940244240681,190397.483253589,343.973789655037
"E02000042","Barnet 019",2001,93.8859972052774,6.65709932488931,0.639246362188088,0.252317334228294,0.0873898053341746,190397.483253589,415.337322453744
"E02000043","Barnet 020",2001,67.9149012587475,4.81558759322757,0.764893380786663,0.182198456875921,0.0369405741792456,190397.483253589,300.445157778364
"E02000044","Barnet 021",2001,71.2241642488762,5.05023485771046,0.578161377022603,0.0887066982349363,0.316743696661874,190397.483253589,315.084832176348
"E02000045","Barnet 022",2001,90.3384672798595,6.40555745736364,0.608569329991249,0.136270587184317,0.23411337564747,190397.483253589,399.643591499105
"E02000046","Barnet 023",2001,62.3288653314103,4.41950301078045,0.609984970479596,0.317746061785765,0.0545381645204005,190397.483253589,275.733387394567
"E02000047","Barnet 024",2001,100.363327964623,7.11638223723715,0.515210633270739,0.123838144340717,0.346484616169473,190397.483253589,443.992045142065
"E02000048","Barnet 025",2001,86.6320927309153,6.14275252114281,0.78443592830738,0.151872728282659,0.0410940776388292,190397.483253589,383.247156173363
"E02000049","Barnet 026",2001,75.0364352135045,5.32054850639475,0.280570229685941,0.0772921047741312,0.618995396746592,190397.483253589,331.949737082826
"E02000050","Barnet 027",2001,88.8117939537468,6.2973068526822,0.587426049956726,0.145315696714675,0.248959267632524,190397.483253589,392.889821710168
"E02000051","Barnet 028",2001,76.3071922017139,5.41065305595618,0.675326156315148,0.217567646955408,0.0700707721525404,190397.483253589,337.571372051652
"E02000052","Barnet 029",2001,85.5819532753812,6.0682911225469,0.582498726641985,0.226171852303098,0.173422140502884,190397.483253589,378.601499497736
"E02000053","Barnet 030",2001,76.7484272670644,5.44193935788723,0.862595419847328,0.0973282442748092,0.0343511450381679,190397.483253589,339.52332863805
"E02000054","Barnet 031",2001,63.5907976183127,4.50898183430326,0.702746173739918,0.204858713590441,0.0764353131797138,190397.483253589,281.315983231665
"E02000055","Barnet 032",2001,98.2189255470192,6.96433080985224,0.605559716743843,0.230967347823081,0.139393641841597,190397.483253589,434.505536132171
"E02000056","Barnet 033",2001,81.2931484401744,5.76418826777707,0.743091959505389,0.159192721006832,0.0653833310743902,190397.483253589,359.628481477948
"E02000057","Barnet 034",2001,66.0440645816615,4.68293367303991,0.663059150293526,0.247458087836484,0.0695977787407462,190397.483253589,292.168861852037
"E02000058","Barnet 035",2001,90.1884473576403,6.39492011470709,0.689821841010568,0.234300426603463,0.0577316155007708,190397.483253589,398.97992625973
"E02000059","Barnet 036",2001,92.2975509700156,6.54446863793752,0.591925608784609,0.177387427629302,0.206851331076583,190397.483253589,408.310278742712
"E02000060","Barnet 037",2001,96.3657382725472,6.83292834174182,0.632582715033816,0.26977158029088,0.0735124577958577,190397.483253589,426.3073184693
