"MSOA11CD","MSOA11NM","Year","MSOA_crime","MSOA_percent_green","PTAL"
"E02000277","Enfield 001",2017,49.8453635391894,0.109085017540818,6
"E02000277","Enfield 001",2019,49.8453635391894,0.109085017540818,6
"E02000277","Enfield 001",2021,49.8453635391894,0.109085017540818,6
"E02000278","Enfield 002",2001,57.9153228598544,0.136136746223444,5
"E02000278","Enfield 002",2003,57.9153228598544,0.136136746223444,5
"E02000278","Enfield 002",2005,57.9153228598544,0.136136746223444,5
"E02000278","Enfield 002",2007,57.9153228598544,0.136136746223444,5
"E02000278","Enfield 002",2009,57.9153228598544,0.136136746223444,5
"E02000278","Enfield 002",2011,57.9153228598544,0.136136746223444,5
"E02000278","Enfield 002",2013,55.3828451444608,0.136136746223444,5
"E02000278","Enfield 002",2015,56.7763506487688,0.136136746223444,5
"E02000278","Enfield 002",2017,62.2063942375112,0.136136746223444,5
"E02000278","Enfield 002",2019,62.2063942375112,0.136136746223444,5
"E02000278","Enfield 002",2021,62.2063942375112,0.136136746223444,5
"E02000279","Enfield 003",2001,74.0047330240439,0.173956788316751,4
"E02000279","Enfield 003",2003,74.0047330240439,0.173956788316751,4
"E02000279","Enfield 003",2005,74.0047330240439,0.173956788316751,4
"E02000279","Enfield 003",2007,74.0047330240439,0.173956788316751,4
"E02000279","Enfield 003",2009,74.0047330240439,0.173956788316751,4
"E02000279","Enfield 003",2011,74.0047330240439,0.173956788316751,4
"E02000279","Enfield 003",2013,70.7687096719759,0.173956788316751,4
"E02000279","Enfield 003",2015,72.5493438413372,0.173956788316751,4
"E02000279","Enfield 003",2017,79.4879035566342,0.173956788316751,4
"E02000279","Enfield 003",2019,79.4879035566342,0.173956788316751,4
"E02000279","Enfield 003",2021,79.4879035566342,0.173956788316751,4
"E02000280","Enfield 004",2001,55.8050214045106,0.131176235610798,1
"E02000280","Enfield 004",2003,55.8050214045106,0.131176235610798,1
"E02000280","Enfield 004",2005,55.8050214045106,0.131176235610798,1
